id,task,stimulus,Gender,Age,trans1
P001,1,1,2,18,0.0507
P001,1,2,2,18,0.1422
P001,2,1,2,18,0.0753
P001,2,2,2,18,0.1492
P001,3,1,2,18,0.1008
P001,3,2,2,18,0.2292
P002,1,1,1,16,0.0166
P002,1,2,1,16,0.1599
P002,2,1,1,16,0.0759
P002,2,2,1,16,0.1584
P002,3,1,1,16,0.0473
P002,3,2,1,16,0.1644
P003,1,1,1,16,0.0
P003,1,2,1,16,0.0626
P003,2,1,1,16,0.001
P003,2,2,1,16,0.0744
P003,3,1,1,16,0.0426
P003,3,2,1,16,0.1017
P004,1,1,2,15,0.0628
P004,1,2,2,15,0.1625
P004,2,1,2,15,0.0126
P004,2,2,2,15,0.162
P004,3,1,2,15,0.0967
P004,3,2,2,15,0.1915
P005,1,1,1,13,0.0063
P005,1,2,1,13,0.1214
P005,2,1,1,13,0.0975
P005,2,2,1,13,0.1314
P005,3,1,1,13,0.0747
P005,3,2,1,13,0.1922
P006,1,1,1,15,0.0291
P006,1,2,1,15,0.1458
P006,2,1,1,15,0.0644
P006,2,2,1,15,0.1157
P006,3,1,1,15,0.0748
P006,3,2,1,15,0.2033
P007,1,1,2,15,0.0794
P007,1,2,2,15,0.1665
P007,2,1,2,15,0.1658
P007,2,2,2,15,0.2186
P007,3,1,2,15,0.0798
P007,3,2,2,15,0.208
P008,1,1,1,12,0.0616
P008,1,2,1,12,0.1978
P008,2,1,1,12,0.0953
P008,2,2,1,12,0.2073
P008,3,1,1,12,0.1505
P008,3,2,1,12,0.177
P009,1,1,1,15,0.0399
P009,1,2,1,15,0.1105
P009,2,1,1,15,0.0487
P009,2,2,1,15,0.1502
P009,3,1,1,15,0.1031
P009,3,2,1,15,0.2005
P010,1,1,2,16,0.0
P010,1,2,2,16,0.1397
P010,2,1,2,16,0.0
P010,2,2,2,16,0.1164
P010,3,1,2,16,0.0474
P010,3,2,2,16,0.178
P011,1,1,1,15,0.0291
P011,1,2,1,15,0.1427
P011,2,1,1,15,0.1159
P011,2,2,1,15,0.1473
P011,3,1,1,15,0.0711
P011,3,2,1,15,0.1808
P012,1,1,1,18,0.0405
P012,1,2,1,18,0.123
P012,2,1,1,18,0.076
P012,2,2,1,18,0.1531
P012,3,1,1,18,0.1214
P012,3,2,1,18,0.196
P013,1,1,2,18,0.0599
P013,1,2,2,18,0.2116
P013,2,1,2,18,0.0999
P013,2,2,2,18,0.2076
P013,3,1,2,18,0.0713
P013,3,2,2,18,0.2105
P014,1,1,1,18,0.0
P014,1,2,1,18,0.1002
P014,2,1,1,18,0.0024
P014,2,2,1,18,0.1243
P014,3,1,1,18,0.1067
P014,3,2,1,18,0.1044
P015,1,1,1,12,0.071
P015,1,2,1,12,0.1609
P015,2,1,1,12,0.08
P015,2,2,1,12,0.1972
P015,3,1,1,12,0.1118
P015,3,2,1,12,0.1552
P016,1,1,2,16,0.0487
P016,1,2,2,16,0.126
P016,2,1,2,16,0.0854
P016,2,2,2,16,0.1419
P016,3,1,2,16,0.1168
P016,3,2,2,16,0.1834
P017,1,1,1,18,0.0287
P017,1,2,1,18,0.0823
P017,2,1,1,18,0.0283
P017,2,2,1,18,0.1632
P017,3,1,1,18,0.0084
P017,3,2,1,18,0.1877
P018,1,1,1,16,0.0203
P018,1,2,1,16,0.0823
P018,2,1,1,16,0.051
P018,2,2,1,16,0.1215
P018,3,1,1,16,0.0
P018,3,2,1,16,0.1651
P019,1,1,2,13,0.0398
P019,1,2,2,13,0.1532
P019,2,1,2,13,0.0488
P019,2,2,2,13,0.201
P019,3,1,2,13,0.0717
P019,3,2,2,13,0.1765
P020,1,1,1,18,0.0074
P020,1,2,1,18,0.0979
P020,2,1,1,18,0.0939
P020,2,2,1,18,0.1416
P020,3,1,1,18,0.0952
P020,3,2,1,18,0.1566
P021,1,1,1,17,0.0234
P021,1,2,1,17,0.1504
P021,2,1,1,17,0.0589
P021,2,2,1,17,0.1512
P021,3,1,1,17,0.0388
P021,3,2,1,17,0.146
P022,1,1,2,17,0.0795
P022,1,2,2,17,0.178
P022,2,1,2,17,0.1397
P022,2,2,2,17,0.2618
P022,3,1,2,17,0.096
P022,3,2,2,17,0.2234
P023,1,1,1,14,0.0192
P023,1,2,1,14,0.1065
P023,2,1,1,14,0.0293
P023,2,2,1,14,0.0946
P023,3,1,1,14,0.0508
P023,3,2,1,14,0.111
P024,1,1,1,14,0.0125
P024,1,2,1,14,0.1192
P024,2,1,1,14,0.1158
P024,2,2,1,14,0.1505
P024,3,1,1,14,0.0945
P024,3,2,1,14,0.1747
