participant,stim_type,cond,label,k1,k2,k3,k4,k5,k6,k7
P01_example,0,none,0none,2,5,11,16,18,20,20
P01_example,1,BB,1BB,2,5,10,14,18,19,20
P01_example,1,facing,1facing,2,4,8,12,19,19,20
P01_example,1,FF,1FF,2,2,8,12,17,18,19
P01_example,1,nonfacing,1nonfacing,1,2,7,12,15,19,19
P01_example,2,BB,2BB,0,1,5,11,16,18,19
P01_example,2,facing,2facing,1,3,3,9,15,19,20
P01_example,2,FF,2FF,0,2,3,7,13,17,19
P01_example,2,nonfacing,2nonfacing,0,0,2,7,11,17,18
P02_example,0,none,0none,1,3,6,13,17,18,20
P02_example,1,BB,1BB,0,2,5,11,16,19,20
P02_example,1,facing,1facing,1,3,6,10,15,18,20
P02_example,1,FF,1FF,1,2,5,9,15,17,19
P02_example,1,nonfacing,1nonfacing,0,2,4,8,14,17,20
P02_example,2,BB,2BB,0,1,2,5,12,17,19
P02_example,2,facing,2facing,0,0,2,5,11,16,17
P02_example,2,FF,2FF,0,1,2,5,11,15,18
P02_example,2,nonfacing,2nonfacing,1,1,1,3,7,14,17
